Esther Mountain,Whiteface Mountain,3.989
Esther Mountain,Seward Mountain,58.299
Esther Mountain,Seymour Mountain,56.073
Esther Mountain,Donaldson Mountain,59.628
Esther Mountain,Mount Emmons,61.041
Esther Mountain,Panther Peak,54.689
Esther Mountain,Couchsachraga Peak,56.783
Esther Mountain,Santanoni Peak,55.375
Esther Mountain,Nye Mountain,40.604
Esther Mountain,Street Mountain,41.149
Esther Mountain,Wright Peak,40.11
Esther Mountain,Algonquin Peak,40.698
Esther Mountain,Iroquois Peak,42.031
Esther Mountain,Mount Marshall,45.825
Esther Mountain,Cascade Mountain,36.606
Esther Mountain,Porter Mountain,37.184
Esther Mountain,Big Slide Mountain,40.758
Esther Mountain,Phelps Mountain,42.105
Esther Mountain,Table Top Mountain,43.184
Esther Mountain,Mount Colden,44.863
Esther Mountain,Mount Marcy,46.542
Esther Mountain,Gray Peak,47.654
Esther Mountain,Mount Haystack,48.123
Esther Mountain,Cliff Mountain,47.714
Esther Mountain,Mount Skylight,48.417
Esther Mountain,Mount Redfield,48.188
Esther Mountain,Allen Mountain,57.466
Esther Mountain,Lower Wolfjaw Mountain,40.611
Esther Mountain,Upper Wolfjaw Mountain,43.47
Esther Mountain,Armstrong Mountain,45.925
Esther Mountain,Gothics,45.953
Esther Mountain,Saddleback Mountain,44.951
Esther Mountain,Basin Mountain,46.155
Esther Mountain,Sawteeth,46.471
Esther Mountain,Dial Mountain,44.719
Esther Mountain,Mount Colvin,46.501
Esther Mountain,Nippletop,47.415
Esther Mountain,Blake Peak,48.368
Esther Mountain,Dix Mountain,48.5
Esther Mountain,Hough Peak,50.353
Esther Mountain,Grace Mountain,52.465
Esther Mountain,South Dix,53.567
Esther Mountain,Macomb Mountain,54.729
Esther Mountain,Giant Mountain,41.398
Esther Mountain,Rocky Peak Ridge,43.277
Whiteface Mountain,Esther Mountain,3.989
Whiteface Mountain,Seward Mountain,49.065
Whiteface Mountain,Seymour Mountain,46.838
Whiteface Mountain,Donaldson Mountain,50.394
Whiteface Mountain,Mount Emmons,51.807
